"Monat","Year","Originalwert","Kalender..und.saisonbereinigt.nach.X13.JDemetra.","Date","Value"
1,2019,100.8,104.4,Jan 2019,104.4
2,2019,96,102.1,Feb 2019,102.1
3,2019,104.3,101.6,Mar 2019,101.6
4,2019,102.6,105,Apr 2019,105
5,2019,102.7,100.5,May 2019,100.5
6,2019,95.5,101.2,Jun 2019,101.2
7,2019,106,102.2,Jul 2019,102.2
8,2019,100.1,100.5,Aug 2019,100.5
9,2019,103.6,100.5,Sep 2019,100.5
10,2019,109,104.1,Oct 2019,104.1
11,2019,104,102.3,Nov 2019,102.3
12,2019,95.6,100.7,Dec 2019,100.7
1,2020,99.5,104.4,Jan 2020,104.4
2,2020,97.2,104.4,Feb 2020,104.4
3,2020,109.4,102.3,Mar 2020,102.3
4,2020,91.9,94.1,Apr 2020,94.1
5,2020,89.8,93,May 2020,93
6,2020,96.6,96.4,Jun 2020,96.4
7,2020,101.1,97.4,Jul 2020,97.4
8,2020,93.9,96.4,Aug 2020,96.4
9,2020,104.9,98.7,Sep 2020,98.7
10,2020,103.8,98.4,Oct 2020,98.4
11,2020,100.1,96.5,Nov 2020,96.5
12,2020,98.8,100.5,Dec 2020,100.5
1,2021,86.7,96.3,Jan 2021,96.3
2,2021,90.9,96.7,Feb 2021,96.7
3,2021,110.8,100.5,Mar 2021,100.5
4,2021,92.8,94.9,Apr 2021,94.9
5,2021,96.2,99.7,May 2021,99.7
6,2021,104.1,100.9,Jun 2021,100.9
7,2021,101.3,100.4,Jul 2021,100.4
8,2021,100.6,100.3,Aug 2021,100.3
9,2021,107.6,101.3,Sep 2021,101.3
10,2021,102.5,100,Oct 2021,100
11,2021,105.4,101,Nov 2021,101
12,2021,101,101,Dec 2021,101
1,2022,93.4,100.8,Jan 2022,100.8
2,2022,97.2,103.4,Feb 2022,103.4
3,2022,113.2,102.5,Mar 2022,102.5
4,2022,97.2,102.1,Apr 2022,102.1
5,2022,101.1,99.2,May 2022,99.2
6,2022,103.2,102.9,Jun 2022,102.9
